cdate,cp,pctlead,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,dow,moy,pred_linr,pred_logr,tf10,tf11
2000-04-27,1464.920000,-0.852600,-0.427900,0.796200,0.520800,0.515300,0.268100,0.626200,0.939100,0.189300,0.040000,0.040000,-0.156969,0.420251,0.422855,0.486943
2000-04-28,1452.430100,1.089200,-0.293400,-0.571200,0.385400,0.245600,0.286200,0.106600,0.440000,0.738000,0.050000,0.040000,-0.048774,0.508523,0.512915,0.495794
2000-05-01,1468.250000,-1.495700,0.114000,0.165500,-0.157200,0.524200,0.385100,0.400300,0.229300,0.511700,0.010000,0.050000,0.182914,0.488323,0.485597,0.466311
2000-05-02,1446.290000,-2.156600,-0.210700,-0.426600,-0.252100,-0.427100,0.187300,0.115200,0.161800,0.035800,0.020000,0.050000,0.049373,0.477773,0.476592,0.480728
2000-05-03,1415.100000,-0.390800,-1.857500,-0.862200,-0.861600,-0.633200,-0.715900,-0.144900,-0.167400,-0.094800,0.030000,0.050000,-0.025263,0.467094,0.466774,0.489909
2000-05-04,1409.569900,1.636000,-1.300000,-1.373900,-0.746800,-0.769600,-0.594000,-0.670800,-0.175000,-0.191700,0.040000,0.050000,-0.019213,0.512468,0.515547,0.521256
2000-05-05,1432.630000,-0.590500,0.616800,-0.320900,-0.624500,-0.276100,-0.374400,-0.281100,-0.388000,0.021300,0.050000,0.050000,0.208600,0.547979,0.550963,0.516997
2000-05-08,1424.170000,-0.844700,0.511100,0.212600,-0.389300,-0.618400,-0.328800,-0.405500,-0.319800,-0.410600,0.010000,0.050000,0.140499,0.507829,0.505378,0.522185
2000-05-09,1412.140000,-2.060000,-0.722400,0.060200,-0.052100,-0.481400,-0.657000,-0.402600,-0.460500,-0.377900,0.020000,0.050000,-0.015026,0.501608,0.500100,0.526904
2000-05-10,1383.050000,1.790200,-1.471100,-1.175100,-0.469200,-0.453900,-0.746000,-0.858600,-0.609100,-0.637400,0.030000,0.050000,0.004238,0.540926,0.542850,0.540002
2000-05-11,1407.810100,0.934100,-0.155100,-0.389200,-0.441100,-0.024900,-0.086100,-0.389300,-0.533400,-0.348600,0.040000,0.050000,0.190103,0.541200,0.543307,0.510001
2000-05-12,1420.960000,2.209800,1.340200,0.209400,-0.057100,-0.165600,0.134300,0.059200,-0.224100,-0.370900,0.050000,0.050000,0.175705,0.533802,0.536752,0.511781
2000-05-15,1452.360000,0.941900,1.550500,1.619000,0.710100,0.398400,0.232100,0.430800,0.328500,0.047600,0.010000,0.050000,0.073170,0.478109,0.475282,0.509020
2000-05-16,1466.040000,-1.244200,1.544700,1.341900,1.444000,0.755900,0.490100,0.335200,0.495400,0.397700,0.020000,0.050000,-0.029149,0.506796,0.506527,0.522912
2000-05-17,1447.800000,-0.731500,-0.156500,0.614700,0.691000,0.899900,0.415700,0.236500,0.132900,0.297600,0.030000,0.050000,0.036762,0.499320,0.499932,0.493202
2000-05-18,1437.210000,-2.105500,-0.999300,-0.348200,0.280000,0.407000,0.627400,0.250300,0.114100,0.035600,0.040000,0.050000,0.003730,0.483143,0.485078,0.469121
2000-05-19,1406.950000,-0.442800,-1.436300,-1.376800,-0.788600,-0.194300,-0.010000,0.238100,-0.045400,-0.134200,0.050000,0.050000,0.059409,0.489964,0.492954,0.464622
2000-05-22,1400.720000,-1.917600,-1.299700,-1.109100,-1.147400,-0.721400,-0.235000,-0.070700,0.154500,-0.089100,0.010000,0.050000,0.067891,0.456818,0.454633,0.472288
2000-05-23,1373.860000,1.833500,-1.192600,-1.515000,-1.316000,-1.304500,-0.920000,-0.471700,-0.297700,-0.071700,0.020000,0.050000,0.056793,0.498491,0.497164,0.503111
2000-05-24,1399.050000,-1.253000,-0.060200,-0.189300,-0.683800,-0.694700,-0.791300,-0.536800,-0.192500,-0.068400,0.030000,0.050000,0.069908,0.507940,0.508576,0.531951
2000-05-25,1381.520000,-0.253300,0.275500,-0.462200,-0.457800,-0.799900,-0.789100,-0.858300,-0.626200,-0.309000,0.040000,0.050000,0.102146,0.557978,0.560236,0.552872
2000-05-26,1378.020000,3.224200,-0.762100,0.100000,-0.410300,-0.417300,-0.709700,-0.713700,-0.784100,-0.585800,0.050000,0.050000,0.068044,0.521697,0.524433,0.535442
2000-05-30,1422.450000,-0.130100,1.461500,0.559500,0.870600,0.312400,0.185500,-0.151200,-0.226300,-0.344700,0.020000,0.050000,0.097741,0.558224,0.558276,0.540605
2000-05-31,1420.600000,1.985800,1.497700,0.925800,0.384600,0.667600,0.237400,0.139600,-0.148500,-0.215500,0.030000,0.050000,0.209599,0.539240,0.539986,0.517745
2000-06-01,1448.810100,1.963700,0.918700,1.649400,1.186800,0.705700,0.886900,0.489500,0.372900,0.091800,0.040000,0.060000,-0.009570,0.464493,0.465404,0.489270
2000-06-02,1477.260000,-0.651900,1.936400,1.261000,1.720200,1.339600,0.917000,1.041500,0.677300,0.553500,0.050000,0.060000,-0.011715,0.515921,0.518922,0.495885
2000-06-05,1467.630000,-0.667100,0.639100,1.070400,0.777100,1.238300,0.999600,0.686100,0.822900,0.524000,0.010000,0.060000,0.071084,0.461081,0.459304,0.469259
2000-06-06,1457.840000,0.927400,-0.663800,0.205100,0.636400,0.486700,0.918000,0.757700,0.513300,0.653400,0.020000,0.060000,-0.031741,0.444430,0.441996,0.440570
2000-06-07,1471.360000,-0.658600,0.127300,-0.134200,0.383900,0.693200,0.559400,0.918200,0.778200,0.559400,0.030000,0.060000,-0.000019,0.472961,0.473323,0.461927
2000-06-08,1461.670000,-0.322900,0.130600,-0.135700,-0.266100,0.175300,0.467500,0.384300,0.719400,0.616300,0.040000,0.060000,0.061225,0.463074,0.465026,0.468368
2000-06-09,1456.950000,-0.751600,-0.493700,-0.020300,-0.182600,-0.277600,0.092600,0.354900,0.295800,0.603200,0.050000,0.060000,-0.014593,0.455197,0.456471,0.467310
2000-06-12,1446.000000,1.621000,-0.539800,-0.581000,-0.202900,-0.296600,-0.356800,-0.027400,0.217300,0.179700,0.010000,0.060000,-0.021296,0.489148,0.487016,0.503463
2000-06-13,1469.439900,0.074900,0.428400,0.177700,-0.032900,0.158800,0.020700,-0.076400,0.176200,0.371200,0.020000,0.060000,0.104671,0.506672,0.505936,0.505546
2000-06-14,1470.540000,0.556900,0.834700,0.309900,0.151800,-0.011200,0.144700,0.028400,-0.057400,0.164900,0.030000,0.060000,0.121565,0.517374,0.517117,0.503565
2000-06-15,1478.730000,-0.965000,0.315000,0.740700,0.371400,0.233000,0.083900,0.203700,0.094800,0.011200,0.040000,0.060000,0.018105,0.486074,0.487088,0.502907
2000-06-16,1464.460000,1.470900,-0.206600,-0.112800,0.313800,0.102500,0.031800,-0.067300,0.056500,-0.024100,0.050000,0.060000,-0.033477,0.508548,0.512047,0.512542
2000-06-19,1486.000000,-0.676300,0.246400,0.349000,0.280700,0.542800,0.329500,0.236900,0.124800,0.213300,0.010000,0.060000,0.113878,0.500836,0.498312,0.488224
2000-06-20,1475.950000,0.215500,0.387900,-0.062800,0.091600,0.088300,0.338600,0.184600,0.121600,0.034700,0.020000,0.060000,0.099906,0.502682,0.501599,0.488924
2000-06-21,1479.130000,-1.822000,-0.232500,0.330300,0.006800,0.116300,0.109400,0.320900,0.188400,0.132000,0.030000,0.060000,0.031901,0.467189,0.466568,0.481160
2000-06-22,1452.180100,-0.736800,-0.810900,-0.767400,-0.208400,-0.360800,-0.207800,-0.167500,0.052500,-0.036100,0.040000,0.060000,-0.041552,0.496561,0.498625,0.504351
2000-06-23,1441.480000,0.959400,-1.301100,-0.788300,-0.761200,-0.313300,-0.423300,-0.282700,-0.238000,-0.034200,0.050000,0.060000,0.048014,0.497575,0.500333,0.495895
2000-06-26,1455.310100,-0.327100,0.108100,-0.547700,-0.354100,-0.420200,-0.104100,-0.228400,-0.129800,-0.107000,0.010000,0.060000,0.117788,0.516615,0.514383,0.504632
2000-06-27,1450.550000,0.294400,0.312100,-0.037500,-0.492800,-0.349000,-0.404900,-0.135800,-0.240700,-0.151600,0.020000,0.060000,0.145762,0.512191,0.510537,0.509825
2000-06-28,1454.819900,-0.854400,-0.016900,0.305900,0.045500,-0.335100,-0.241900,-0.305400,-0.082400,-0.181700,0.030000,0.060000,0.000133,0.492592,0.492802,0.521526
2000-06-29,1442.390000,0.846500,-0.281700,-0.297200,0.015700,-0.135100,-0.422500,-0.329800,-0.374300,-0.168000,0.040000,0.060000,0.030445,0.534607,0.536303,0.526323
2000-06-30,1454.600000,1.027100,-0.007600,0.093100,-0.012200,0.180800,0.027800,-0.241600,-0.183600,-0.239600,0.050000,0.060000,0.082520,0.518894,0.522394,0.514656
